1973    452     197     2601	152     445     166   
1974	438     262     3192	320     528     156    
1975	663     425     3890	227     606     219    
1976	471     437     4838	325     854     258    
1977	178     318     3372	117     614     217    
1978	763     638     7780	304     1209	635    
1979	1054	601     7554	216     1157	358    
1980	658     599     8254	366     1187	384    
1981	1001	825     10852	345     1309	562    
1982	1110	544     7282	244     1216	705    
1983	1235	831     6218	269     1067	587    
1984	1382	798     7499	267     1194	732    
1985	1574	837     10843	298     1686	781    
1986	490     482     9818	344     1601	627    
1987	243     375     7238	215     1284	374    
1988	257     346     9082	217     1514	404    
1989	533     605     11432	506     2021	642    
1990	357     292     6886	423     1724	472    
1991	201     243     6042	315     1499	375    
1992	115     279     4001	117     752     171    
1993	264     231     4344	122     697     247    
1994	53      154     4447	119     1069	607    
1995	37      150     4561	251     806     209    
1996	84      79      3078	88      626     136    
1997	77      82      3608	121     788     243    
1998	172     227     5700	210     904     852    
1999	102     188     5123	128     654     915    
2000	163     234     5120	215     684     507    
2001	191     270     5108	276     684     533    
2002	173     306     5230	213     468     457    
2003	336     233     6079	264     348     613    
2004	349     226     5397	310     176     514    
2005	159     229     6101	227     112     459    
2006	135     282     4767	300     162     464    
2007	68      280     5744	195     125     570    
2008	59      205     3887	152     96      245    
2009	104     337     6428	177     131     242    
2010	135     287     4374	175     150     480    
2011	96      494     5177	519     220     599    
